省,人数,2015年
河南,77.2,77.2万↑
广东,75.4,75.4万多
山东,69.6198,696198↑
四川,57,超57万
安徽,54.6,54.6万
河北,40.50,40.48万↓
江苏,39.29,39.29万↓
湖南,39,39万↑
湖北,36.8425,368425↓
江西,35.4641,354641↑
陕西,34.4,34.4万↓
山西,34.2278,342278↑
贵州,33.0591,330591↑
广西,31,近31万↓
甘肃,30.3838,303838↑
浙江,28,28万↓
云南,27.2126,272126↑
重庆,25.546,255460↑
辽宁,22.5191,225191↓
黑龙江,19.8,19.8万↓
福建,18.93,18.93万↓
内蒙古,18.8,18.8万
新疆,16.05,16.05万↓
吉林,13.7681,137681↓
北京,6.8,6.8万↓
宁夏,6.7708,67708↑
海南,6.2,超6.2万↑
天津,6.199,61990↓
上海,5.1,5.1万↓
青海,4.2682,42682↑
西藏,2.1145,21145↑
